,Symbol,Name,Industry,IndustryCode
121,RPRX,Royalty Pharma PLC Class A,제약,562010
122,ZBRA,Zebra Technologies Corp Class A,전자 장비 및 부품,571040
123,IBKR,Interactive Brokers Group Inc Class A,투자은행 및 서비스,551020
124,FITB,Fifth Third Bancorp,은행,551010
125,LBRDK,Liberty Broadband Corp Series C,미디어 및 출판,533020
126,SIRI,Sirius XM Holdings Inc,미디어 및 출판,533020
127,XP,Xp Inc Class A,투자은행 및 서비스,551020
128,VRSN,Verisign Inc,소프트웨어 및 IT서비스,572010
129,RYAAY,Ryanair Holdings PLC ADR,운송업,524060
130,YNDX,Yandex NV Class A,소프트웨어 및 IT서비스,572010
131,VIAC,ViacomCBS Inc Class B,미디어 및 출판,533020
132,EXPE,Expedia Group Inc,호텔 및 엔터테인먼트,533010
133,MDB,MongoDB Inc Class A,소프트웨어 및 IT서비스,572010
134,CERN,Cerner Corp,헬스케어 장비 및 용품,561010
135,TCOM,Trip.com Group Ltd ADR,호텔 및 엔터테인먼트,533010
136,DLTR,Dollar Tree Inc,다양한 소매업,534020
137,CDW,CDW Corp,소프트웨어 및 IT서비스,572010
138,NTRS,Northern Trust Corp,투자은행 및 서비스,551020
139,FUTU,Futu Holdings Ltd ADR,핀테크,573010
140,NVCR,Novocure Ltd,헬스케어 장비 및 용품,561010
141,ENPH,Enphase Energy Inc,재생에너지,502010
142,EXAS,Exact Sciences Corp,생명과학 및 메디컬 리서치,562020
143,ETSY,ETSY Inc,다양한 소매업,534020
144,LOGI,Logitech International SA,"컴퓨터, 전화 및 가전제품",571060
145,TXG,10X Genomics Inc,헬스케어 장비 및 용품,561010
146,WDC,Western Digital Corp,"컴퓨터, 전화 및 가전제품",571060
147,HZNP,Horizon Therapeutics PLC,제약,562010
148,STNE,StoneCo Ltd Class A,핀테크,573010
149,SPLK,Splunk Inc,소프트웨어 및 IT서비스,572010
150,DISH,DISH Network Corp Class A,미디어 및 출판,533020
151,Z,Zillow Group Inc Class C,부동산 운영 관리,601010
152,CZR,Caesars Entertainment Inc,호텔 및 엔터테인먼트,533010
153,ALNY,Alnylam Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
154,TER,Teradyne Inc,반도체 및 반도체 장비,571010
155,EXPD,Expeditors International of Washington Inc,화물 및 물류 서비스,524050
156,ZI,ZoomInfo Technologies Inc Class A,소프트웨어 및 IT서비스,572010
157,SOFI,SoFi Technologies Inc,기타 금융업,556010
158,TTWO,Take-Two Interactive Software Inc,레저 상품,532050
159,TSCO,Tractor Supply Co,전문품 상점,534030
160,QRVO,Qorvo Inc,반도체 및 반도체 장비,571010
161,HBAN,Huntington Bancshares Inc,은행,551010
162,TRMB,Trimble Inc,소프트웨어 및 IT서비스,572010
163,STX,Seagate Technology Holdings PLC,"컴퓨터, 전화 및 가전제품",571060
164,TW,Tradeweb Markets Inc Class A,투자은행 및 서비스,551020
165,DKNG,Draftkings Inc Class A,호텔 및 엔터테인먼트,533010
166,LYFT,Lyft Inc Class A,소프트웨어 및 IT서비스,572010
167,XM,Qualtrics International Inc Class A,소프트웨어 및 IT서비스,572010
168,AKAM,Akamai Technologies Inc,소프트웨어 및 IT서비스,572010
169,GRUB,Just Eat Takeaway.com NV ADR,소프트웨어 및 IT서비스,572010
170,PODD,Insulet Corp,헬스케어 장비 및 용품,561010
171,INCY,Incyte Corp,생명과학 및 메디컬 리서치,562020
172,SSNC,SS&C Technologies Holdings Inc,소프트웨어 및 IT서비스,572010
173,CINF,Cincinnati Financial Corp,보험,553010
174,AFRM,Affirm Holdings Inc Class A,소프트웨어 및 IT서비스,572010
175,COUP,Coupa Software Inc,소프트웨어 및 IT서비스,572010
176,ULTA,Ulta Beauty Inc,전문품 상점,534030
177,WMG,Warner Music Group Corp Class A,미디어 및 출판,533020
178,UAL,United Airlines Holdings Inc,운송업,524060
179,POOL,Pool Corp,레저 상품,532050
180,HTHT,Huazhu Group Ltd ADR,호텔 및 엔터테인먼트,533010
181,BSY,Bentley Systems Inc Class B,소프트웨어 및 IT서비스,572010
182,NTAP,NetApp Inc,"컴퓨터, 전화 및 가전제품",571060
183,BPY,Brookfield Property Partners LP Unit,부동산 운영 관리,601010
184,VTRS,Viatris Inc,제약,562010
185,MKTX,Marketaxess Holdings Inc,투자은행 및 서비스,551020
186,WIX,Wix.Com Ltd,소프트웨어 및 IT서비스,572010
187,TECH,Bio-Techne Corp,생명과학 및 메디컬 리서치,562020
188,PLUG,Plug Power Inc,재생에너지,502010
189,JBHT,J B Hunt Transport Services Inc,화물 및 물류 서비스,524050
190,PPD,PPD Inc,생명과학 및 메디컬 리서치,562020
191,PFG,Principal Financial Group Inc,보험,553010
192,MPWR,Monolithic Power Systems Inc,반도체 및 반도체 장비,571010
193,ARGX,argenx SE ADR,생명과학 및 메디컬 리서치,562020
194,CHKP,Check Point Software Technologies Ltd,소프트웨어 및 IT서비스,572010
195,HOLX,Hologic Inc,헬스케어 장비 및 용품,561010
196,MQ,Marqeta Inc Class A,핀테크,573010
197,ENTG,Entegris Inc,반도체 및 반도체 장비,571010
198,CG,Carlyle Group Inc,투자은행 및 서비스,551020
199,FANG,Diamondback Energy Inc,오일 및 가스,501020
200,NUAN,Nuance Communications Inc,소프트웨어 및 IT서비스,572010
201,NLOK,NortonLifeLock Inc,소프트웨어 및 IT서비스,572010
202,OTLY,Oatly Group AB (publ) ADR,식품 및 담배,541020
203,PTC,PTC Inc,소프트웨어 및 IT서비스,572010
204,ON,ON Semiconductor Corp,반도체 및 반도체 장비,571010
205,BZ,Kanzhun Ltd ADR,소프트웨어 및 IT서비스,572010
206,ACGL,Arch Capital Group Ltd,보험,553010
207,BMRN,Biomarin Pharmaceutical Inc,제약,562010
208,GDS,GDS Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
209,ZLAB,Zai Lab Ltd ADR,제약,562010
210,GDRX,Goodrx Holdings Inc Class A,소프트웨어 및 IT서비스,572010
211,ABMD,ABIOMED Inc,헬스케어 장비 및 용품,561010
212,WYNN,Wynn Resorts Ltd,호텔 및 엔터테인먼트,533010
213,CTXS,Citrix Systems Inc,소프트웨어 및 IT서비스,572010
214,AAL,American Airlines Group Inc,운송업,524060
215,LKQ,LKQ Corp,자동차 및 자동차 부품,531010
216,LNT,Alliant Energy Corp,전기 유틸리티,591010
217,NICE,Nice Ltd ADR,소프트웨어 및 IT서비스,572010
218,IEP,Icahn Enterprises LP Unit,오일 및 가스,501020
219,XRAY,DENTSPLY SIRONA Inc,헬스케어 장비 및 용품,561010
220,SEDG,Solaredge Technologies Inc,재생에너지,502010
221,CGNX,Cognex Corp,"건설장비 및 대형차, 기차, 배",521020
222,OTEX,Open Text Corp,소프트웨어 및 IT서비스,572010
223,SBNY,Signature Bank,은행,551010
224,IAC,IAC/Interactivecorp,소프트웨어 및 IT서비스,572010
225,MASI,Masimo Corp,헬스케어 장비 및 용품,561010
226,NVAX,Novavax Inc,생명과학 및 메디컬 리서치,562020
227,HAS,Hasbro Inc,레저 상품,532050
228,NDSN,Nordson Corp,"건설장비 및 대형차, 기차, 배",521020
229,CHRW,CH Robinson Worldwide Inc,화물 및 물류 서비스,524050
230,FOXA,Fox Corp Class A,미디어 및 출판,533020
231,FIVN,Five9 Inc,소프트웨어 및 IT서비스,572010
232,STLD,Steel Dynamics Inc,메탈&마이닝,512010
233,JKHY,Jack Henry & Associates Inc,소프트웨어 및 IT서비스,572010
234,GH,Guardant Health Inc,생명과학 및 메디컬 리서치,562020
235,MCFE,Mcafee Corp Class A,소프트웨어 및 IT서비스,572010
236,HST,Host Hotels & Resorts Inc,주택 및 상업용 리츠,601020
237,OZON,Ozon Holdings PLC ADR,전자 장비 및 부품,571040
238,DBX,Dropbox Inc Class A,소프트웨어 및 IT서비스,572010
239,CVAC,CureVac NV,생명과학 및 메디컬 리서치,562020
240,MRVI,Maravai LifeSciences Holdings Inc Class A,생명과학 및 메디컬 리서치,562020
241,PENN,Penn National Gaming Inc,호텔 및 엔터테인먼트,533010
242,IQ,iQIYI Inc ADR,소프트웨어 및 IT서비스,572010
243,ZNGA,Zynga Inc Class A,소프트웨어 및 IT서비스,572010
244,ICLR,ICON PLC,생명과학 및 메디컬 리서치,562020
245,PEGA,Pegasystems Inc,소프트웨어 및 IT서비스,572010
246,TSP,TuSimple Holdings Inc Class A,통합 하드웨어 및 소프트웨어,571070
247,NWL,Newell Brands Inc,가정용품,532040
248,DLO,Dlocal Ltd Class A,,
249,BRKR,Bruker Corp,헬스케어 장비 및 용품,561010
250,FFIV,F5 Networks Inc,소프트웨어 및 IT서비스,572010
251,IPGP,IPG Photonics Corp,전자 장비 및 부품,571040
252,ARVL,Arrival SA,기타 금융업,556010
253,RGEN,Repligen Corp,헬스케어 장비 및 용품,561010
254,WB,Weibo Corp ADR,미디어 및 출판,533020
255,PRAH,PRA Health Sciences Inc,생명과학 및 메디컬 리서치,562020
256,JAZZ,Jazz Pharmaceuticals PLC,제약,562010
257,LPLA,LPL Financial Holdings Inc,투자은행 및 서비스,551020
258,REG,Regency Centers Corp,주택 및 상업용 리츠,601020
259,RUN,Sunrun Inc,재생에너지,502010
260,GLPI,Gaming and Leisure Properties Inc,주택 및 상업용 리츠,601020
261,HSIC,Henry Schein Inc,헬스케어 장비 및 용품,561010
262,CREE,Cree Inc,반도체 및 반도체 장비,571010
263,MORN,Morningstar Inc,전문 및 상업 서비스,522030
264,UHAL,Amerco,화물 및 물류 서비스,524050
265,LAMR,Lamar Advertising Co Class A,주택 및 상업용 리츠,601020
266,FIVE,Five Below Inc,다양한 소매업,534020
267,DOX,Amdocs Ltd,소프트웨어 및 IT서비스,572010
268,AXON,Axon Enterprise Inc,우주항공 및 국방,521010
269,MNDY,Monday.Com Ltd,소프트웨어 및 IT서비스,572010
270,LBTYK,Liberty Global PLC Class C,미디어 및 출판,533020
271,LSXMK,Liberty Media Corp Series C,미디어 및 출판,533020
272,PFPT,Proofpoint Inc,소프트웨어 및 IT서비스,572010
273,PCTY,Paylocity Holding Corp,소프트웨어 및 IT서비스,572010
274,OLED,Universal Display Corp,반도체 및 반도체 장비,571010
275,NWSA,News Corp Class A,미디어 및 출판,533020
276,PLTK,Playtika Holding Corp,소프트웨어 및 IT서비스,572010
277,LFST,Lifestance Health Group Inc,헬스케어 업체 및 서비스,561020
278,CRSP,CRISPR Therapeutics AG,생명과학 및 메디컬 리서치,562020
279,OPEN,Opendoor Technologies Inc Class A,부동산 운영 관리,601010
280,UPST,Upstart Holdings Inc,은행,551010
281,NBIX,Neurocrine Biosciences Inc,생명과학 및 메디컬 리서치,562020
282,EWBC,East West Bancorp Inc,은행,551010
283,MKSI,MKS Instruments Inc,"건설장비 및 대형차, 기차, 배",521020
284,AZPN,Aspen Technology Inc,소프트웨어 및 IT서비스,572010
285,APPN,Appian Corp Class A,소프트웨어 및 IT서비스,572010
286,BYND,Beyond Meat Inc,식품 및 담배,541020
287,BBIO,BridgeBio Pharma Inc,제약,562010
288,FOX,Fox Corp Class B,미디어 및 출판,533020
289,NTRA,Natera Inc,헬스케어 장비 및 용품,561010
290,DISCK,Discovery Inc Series C,미디어 및 출판,533020
291,FWONK,Liberty Media Corp Series C,미디어 및 출판,533020
292,MIDD,Middleby Corp,가정용품,532040
293,DNLI,Denali Therapeutics Inc,생명과학 및 메디컬 리서치,562020
294,ARWR,Arrowhead Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
295,MANH,Manhattan Associates Inc,소프트웨어 및 IT서비스,572010
296,SYNH,Syneos Health Inc Class A,생명과학 및 메디컬 리서치,562020
297,CGC,Canopy Growth Corp,제약,562010
298,AGNC,AGNC Investment Corp,주택 및 상업용 리츠,601020
299,BLDR,Builders FirstSource Inc,주택건설,532030
300,ERIE,Erie Indemnity Co Class A,보험,553010
301,SEIC,SEI Investments Co,투자은행 및 서비스,551020
302,MRTX,Mirati Therapeutics Inc,생명과학 및 메디컬 리서치,562020
303,CONE,CyrusOne Inc,주택 및 상업용 리츠,601020
304,ARCC,Ares Capital Corp,다양한 금융서비스,555010
305,CNXC,Concentrix Corp,전문 및 상업 서비스,522030
306,NFE,New Fortress Energy Inc Class A,천연가스 유틸리티,591020
307,MLCO,Melco Resorts & Entertainment Ltd ADR,호텔 및 엔터테인먼트,533010
308,CBSH,Commerce Bancshares Inc,은행,551010
309,FLEX,Flex Ltd,전자 장비 및 부품,571040
310,ZION,Zions Bancorporation NA,은행,551010
311,FSLR,First Solar Inc,재생에너지,502010
312,UTHR,United Therapeutics Corp,생명과학 및 메디컬 리서치,562020
313,ZG,Zillow Group Inc Class A,부동산 운영 관리,601010
314,PAA,Plains All American Pipeline LP,오일 및 가스 장비 및 서비스,501030
315,LAZR,Luminar Technologies Inc Class A,전자 장비 및 부품,571040
316,CRCT,Cricut Inc Class A,전문품 상점,534030
317,NTNX,Nutanix Inc Class A,소프트웨어 및 IT서비스,572010
318,APA,APA Corp (US),오일 및 가스,501020
319,XLRN,Acceleron Pharma Inc,생명과학 및 메디컬 리서치,562020
320,AMED,Amedisys Inc,헬스케어 업체 및 서비스,561020
321,GLBE,Global-E Online Ltd,소프트웨어 및 IT서비스,572010
322,KC,Kingsoft Cloud Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
323,GNTX,Gentex Corp,자동차 및 자동차 부품,531010
324,ASND,Ascendis Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
325,TLRY,Tilray Inc,제약,562010
326,FATE,Fate Therapeutics Inc,생명과학 및 메디컬 리서치,562020
327,EEFT,Euronet Worldwide Inc,전문 및 상업 서비스,522030
328,WWD,Woodward Inc,"건설장비 및 대형차, 기차, 배",521020
329,FSV,FirstService Corp,부동산 운영 관리,601010
330,CHDN,Churchill Downs Inc,호텔 및 엔터테인먼트,533010
331,LECO,Lincoln Electric Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
332,CASY,Caseys General Stores Inc,식품 및 약품소매,543010
333,PBCT,People's United Financial Inc,은행,551010
334,CHNG,Change Healthcare Inc,소프트웨어 및 IT서비스,572010
335,RGLD,Royal Gold Inc,메탈&마이닝,512010
336,DADA,Dada Nexus Ltd ADR,소프트웨어 및 IT서비스,572010
337,FCNCA,First Citizens BancShares Inc (Delaware) Class A,은행,551010
338,IIVI,II-VI Inc,전자 장비 및 부품,571040
339,WISH,ContextLogic Inc Class A,소프트웨어 및 IT서비스,572010
340,EXEL,Exelixis Inc,생명과학 및 메디컬 리서치,562020
341,SGMS,Scientific Games Corp,호텔 및 엔터테인먼트,533010
342,FRPT,Freshpet Inc,식품 및 담배,541020
343,LSCC,Lattice Semiconductor Corp,반도체 및 반도체 장비,571010
344,VMEO,Vimeo Inc,소프트웨어 및 IT서비스,572010
345,ANGI,Angi Inc Class A,소프트웨어 및 IT서비스,572010
346,STAA,STAAR Surgical Co,헬스케어 장비 및 용품,561010
347,CROX,Crocs Inc,섬유 및 의류,532020
348,BRKS,Brooks Automation Inc,반도체 및 반도체 장비,571010
349,CACC,Credit Acceptance Corp,은행,551010
350,MAT,Mattel Inc,레저 상품,532050
351,FFIN,First Financial Bankshares Inc,은행,551010
352,SHC,Sotera Health Co,헬스케어 업체 및 서비스,561020
353,SWAV,Shockwave Medical Inc,헬스케어 장비 및 용품,561010
354,QFIN,360 DigiTech Inc ADR,은행,551010
355,COLM,Columbia Sportswear Co,섬유 및 의류,532020
356,NKLA,Nikola Corporation,자동차 및 자동차 부품,531010
357,HQY,Healthequity Inc,소프트웨어 및 IT서비스,572010
358,SRCL,Stericycle Inc,전문 및 상업 서비스,522030
359,COHR,Coherent Inc,전자 장비 및 부품,571040
360,PNFP,Pinnacle Financial Partners Inc,은행,551010
361,RARE,Ultragenyx Pharmaceutical Inc,생명과학 및 메디컬 리서치,562020
362,WSC,Willscot Mobile Mini Holdings Corp Class A,전문 및 상업 서비스,522030
363,MEDP,Medpace Holdings Inc,생명과학 및 메디컬 리서치,562020
364,DOOO,BRP Inc,레저 상품,532050
365,SFIX,Stitch Fix Inc Class A,소프트웨어 및 IT서비스,572010
366,SRPT,Sarepta Therapeutics Inc,생명과학 및 메디컬 리서치,562020
367,TXRH,Texas Roadhouse Inc,호텔 및 엔터테인먼트,533010
368,SLAB,Silicon Laboratories Inc,반도체 및 반도체 장비,571010
369,APPS,Digital Turbine Inc,소프트웨어 및 IT서비스,572010
370,MSTR,Microstrategy Inc Class A,소프트웨어 및 IT서비스,572010
371,TTEK,Tetra Tech Inc,전문 및 상업 서비스,522030
372,ABCL,Abcellera Biologics Inc,생명과학 및 메디컬 리서치,562020
373,BL,Blackline Inc,소프트웨어 및 IT서비스,572010
374,REYN,Reynolds Consumer Products Inc,가정용품,532040
375,NCNO,nCino Inc,소프트웨어 및 IT서비스,572010
376,LHCG,LHC Group Inc,헬스케어 업체 및 서비스,561020
377,SLM,SLM Corp,은행,551010
378,OMCL,Omnicell Inc,헬스케어 장비 및 용품,561010
379,RDFN,Redfin Corp,부동산 운영 관리,601010
380,RXRX,Recursion Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
381,CDK,CDK Global Inc,소프트웨어 및 IT서비스,572010
382,NXST,Nexstar Media Group Inc Class A,미디어 및 출판,533020
383,LITE,Lumentum Holdings Inc,커뮤니케이션 및 네트워킹,571020
384,VRNS,Varonis Systems Inc,소프트웨어 및 IT서비스,572010
385,UPWK,Upwork Inc,전문 및 상업 서비스,522030
386,BMBL,Bumble Inc Class A,소프트웨어 및 IT서비스,572010
387,VIR,Vir Biotechnology Inc,생명과학 및 메디컬 리서치,562020
388,RCM,R1 RCM Inc,헬스케어 업체 및 서비스,561020
389,PAAS,Pan American Silver Corp,메탈&마이닝,512010
390,JCOM,j2 Global Inc,소프트웨어 및 IT서비스,572010
391,FOXF,Fox Factory Holding Corp,자동차 및 자동차 부품,531010
392,HALO,Halozyme Therapeutics Inc,생명과학 및 메디컬 리서치,562020
393,TNDM,Tandem Diabetes Care Inc,헬스케어 장비 및 용품,561010
394,LFUS,Littelfuse Inc,"건설장비 및 대형차, 기차, 배",521020
395,AVGOP,Broadcom Inc Convertible Preference Shares Series A,반도체 및 반도체 장비,571010
396,BPOP,Popular Inc,은행,551010
397,BOKF,BOK Financial Corp,은행,551010
398,IART,Integra Lifesciences Holdings Corp,헬스케어 장비 및 용품,561010
399,PACB,Pacific Biosciences of California Inc,헬스케어 장비 및 용품,561010
400,ESLT,Elbit Systems Ltd,우주항공 및 국방,521010
401,SSB,South State Corp,은행,551010
402,LSTR,Landstar System Inc,화물 및 물류 서비스,524050
403,KNBE,Knowbe4 Inc Class A,소프트웨어 및 IT서비스,572010
404,PGNY,Progyny Inc,헬스케어 업체 및 서비스,561020
405,CAR,Avis Budget Group Inc,운송업,524060
406,OLLI,Ollie's Bargain Outlet Holdings Inc,다양한 소매업,534020
407,VRM,Vroom Inc,소프트웨어 및 IT서비스,572010
408,AMKR,Amkor Technology Inc,반도체 및 반도체 장비,571010
409,TRIP,Tripadvisor Inc,호텔 및 엔터테인먼트,533010
410,CD,Chindata Group Holdings Ltd ADR,소프트웨어 및 IT서비스,572010
411,TFSL,TFS Financial Corp,은행,551010
412,NATI,National Instruments Corp,소프트웨어 및 IT서비스,572010
413,DSGX,Descartes Systems Group Inc,소프트웨어 및 IT서비스,572010
414,ADPT,Adaptive Biotechnologies Corp,생명과학 및 메디컬 리서치,562020
415,ACHC,Acadia Healthcare Company Inc,헬스케어 업체 및 서비스,561020
416,IMAB,I-Mab ADR,제약,562010
417,CYBR,Cyberark Software Ltd,소프트웨어 및 IT서비스,572010
418,JBLU,JetBlue Airways Corp,운송업,524060
419,VIRT,Virtu Financial Inc Class A,투자은행 및 서비스,551020
420,TWST,Twist Bioscience Corp,제약,562010
421,DCT,Duck Creek Technologies Inc,소프트웨어 및 IT서비스,572010
